"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-15",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"84",",,7","42",",,7","43",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-16",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"66",",,7","41",",,7","42",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-17",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"68",",,7","40",",,7","41",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-18",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"81",",,7","40",",,7","48",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-19",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"78",",,7","46",",,7","48",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-20",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"75",",,7","46",",,7","47",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-21",,,,,"0.49",",,7,0600","0.0",",,7,","0.0",",,7,",,,"73",",,7","47",",,7","47",",,7,0600",,,"    1",",,7",,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-22",,,,,"0.63",",,7,0600","0.0",",,7,","0.0",",,7,",,,"47",",,7","44",",,7","44",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-23",,,,,"0.52",",,7,0600","0.0",",,7,","0.0",",,7,",,,"46",",,7","41",",,7","41",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-24",,,,,"0.01",",,7,0600","0.0",",,7,","0.0",",,7,",,,"58",",,7","34",",,7","34",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-25",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"65",",,7","33",",,7","39",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-26",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"71",",,7","38",",,7","51",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-27",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"61",",,7","41",",,7","41",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-28",,,,,"0.00","T,,7,0600","0.0",",,7,","0.0",",,7,",,,"61",",,7","32",",,7","32",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-29",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"66",",,7","31",",,7","38",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-30",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"57",",,7","37",",,7","42",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-31",,,,,"0.01",",,7,0600","0.0",",,7,","0.0",",,7,",,,"52",",,7","37",",,7","37",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-01",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"67",",,7","35",",,7","46",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-02",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"73",",,7","40",",,7","42",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-03",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"74",",,7","38",",,7","54",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-04",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"75",",,7","50",",,7","51",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-05",,,,,"0.45",",,7,0600","0.2",",,7,","0.0",",,7,",,,"58",",,7","32",",,7","34",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-06",,,,,"0.01",",,7,0600","0.0",",,7,","0.0",",,7,",,,"49",",,7","30",",,7","31",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-07",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"48",",,7","26",",,7","27",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-08",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"57",",,7","24",",,7","28",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-09",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"69",",,7","26",",,7","29",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-10",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"60",",,7","28",",,7","28",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-11",,,,,"0.37",",,7,0600","4.7",",,7,","3.0",",,7,",,,"68",",,7","28",",,7","31",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-12",,,,,"0.04",",,7,0600","0.4",",,7,","2.0",",,7,",,,"46",",,7","26",",,7","26",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-13",,,,,"0.00",",,7,0600","0.0",",,7,","0.0","T,,7,",,,"50",",,7","23",",,7","24",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-14",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"62",",,7","24",",,7","32",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-15",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"65",",,7","31",",,7","32",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-16",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"65",",,7","31",",,7","39",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-17",,,,,"0.35",",,7,0600","3.5",",,7,","2.0",",,7,",,,"50",",,7","29",",,7","29",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-18",,,,,"0.09",",,7,0600","0.9",",,7,","3.0",",,7,",,,"44",",,7","29",",,7","43",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-19",,,,,"0.00",",,7,0600","0.0",",,7,","0.0","T,,7,",,,"52",",,7","25",",,7","26",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-20",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"50",",,7","26",",,7","34",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-21",,,,,"0.08",",,7,0600","1.4",",,7,","1.0",",,7,",,,"52",",,7","14",",,7","14",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-22",,,,,"0.00",",,7,0600","0.0",",,7,","0.0","T,,7,",,,"47",",,7","14",",,7","32",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-23",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"62",",,7","28",",,7","28",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-24",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"62",",,7","27",",,7","38",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-25",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"63",",,7","29",",,7","32",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-26",,,,,"0.00","T,,7,0600","0.0","T,,7,","0.0",",,7,",,,"47",",,7","23",",,7","24",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-27",,,,,"0.13",",,7,0600","2.0",",,7,","2.0",",,7,",,,"24",",,7","8",",,7","8",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-28",,,,,"0.05",",,7,0600","0.5",",,7,","2.0",",,7,",,,"19",",,7","8",",,7","16",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-29",,,,,"0.00",",,7,0600","0.0",",,7,","1.0",",,7,",,,"23",",,7","16",",,7","20",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-11-30",,,,,"0.17",",,7,0600","2.1",",,7,","3.0",",,7,",,,"26",",,7","20",",,7","21",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-01",,,,,"0.00","T,,7,0600","0.0","T,,7,","2.0",",,7,",,,"32",",,7","17",",,7","22",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-02",,,,,"0.00",",,7,0600","0.0",",,7,","2.0",",,7,",,,"42",",,7","21",",,7","25",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-03",,,,,"0.00",",,7,0600","0.0",",,7,","1.0",",,7,",,,"51",",,7","19",",,7","25",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-04",,,,,"0.00",",,7,0600","0.0",",,7,","0.0","T,,7,",,,"50",",,7","24",",,7","25",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-05",,,,,"0.00",",,7,0600","0.0",",,7,","0.0","T,,7,",,,"62",",,7","25",",,7","26",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-06",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"45",",,7","25",",,7","26",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-07",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"57",",,7","25",",,7","34",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-08",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"58",",,7","31",",,7","50",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-09",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"59",",,7","37",",,7","41",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-10",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"66",",,7","38",",,7","39",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-11",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"65",",,7","35",",,7","39",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-12",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"50",",,7","28",",,7","28",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-13",,,,,"0.16",",,7,0600","1.9",",,7,","2.0",",,7,",,,"29",",,7","22",",,7","23",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-14",,,,,"0.00",",,7,0600","0.0",",,7,","1.0",",,7,",,,"42",",,7","20",",,7","20",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-15",,,,,"0.41",",,7,0600","5.7",",,7,","7.0",",,7,",,,"38",",,7","19",",,7","20",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-16",,,,,"0.17",",,7,0600","2.5",",,7,","8.0",",,7,",,,"21",",,7","8",",,7","8",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-17",,,,,"0.00",",,7,0600","0.0",",,7,","7.0",",,7,",,,"32",",,7","6",",,7","11",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-18",,,,,"0.00",",,7,0600","0.0",",,7,","6.0",",,7,",,,"22",",,7","10",",,7","14",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-19",,,,,"0.00",",,7,0600","0.0",",,7,","4.0",",,7,",,,"53",",,7","12",",,7","25",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-20",,,,,"0.00",",,7,0600","0.0",",,7,","4.0",",,7,",,,"59",",,7","25",",,7","40",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-21",,,,,"0.00",",,7,0600","0.0",",,7,","3.0",",,7,",,,"50",",,7","27",",,7","27",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-22",,,,,"0.00",",,7,0600","0.0",",,7,","3.0",",,7,",,,"45",",,7","25",",,7","38",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-23",,,,,"0.00","T,,7,0600","0.0","T,,7,","3.0",",,7,",,,"50",",,7","23",",,7","24",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-24",,,,,"0.00","T,,7,0600","0.0","T,,7,","2.0",",,7,",,,"41",",,7","20",",,7","21",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-25",,,,,"0.00",",,7,0600","0.0",",,7,","2.0",",,7,",,,"37",",,7","17",",,7","18",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-26",,,,,"0.09",",,7,0600","1.7",",,7,","4.0",",,7,",,,"25",",,7","14",",,7","14",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-27",,,,,"0.00","T,,7,0600","0.0","T,,7,","4.0",",,7,",,,"21",",,7","7",",,7","9",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-28",,,,,"0.00",",,7,0600","0.0",",,7,","4.0",",,7,",,,"28",",,7","2",",,7","4",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-29",,,,,"0.00",",,7,0600","0.0",",,7,","4.0",",,7,",,,"30",",,7","3",",,7","7",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-30",,,,,"0.00",",,7,0600","0.0",",,7,","3.0",",,7,",,,"23",",,7","5",",,7","6",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-12-31",,,,,"0.00",",,7,0600","0.0",",,7,","3.0",",,7,",,,"28",",,7","6",",,7","7",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-01",,,,,"0.00",",,7,0600","0.0",",,7,","3.0",",,7,",,,"26",",,7","3",",,7","3",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-02",,,,,"0.00",",,7,0600","0.0",",,7,","2.0",",,7,",,,"39",",,7","3",",,7","15",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-03",,,,,"0.00",",,7,0600","0.0",",,7,","2.0",",,7,",,,"47",",,7","12",",,7","14",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-04",,,,,"0.00",",,7,0600","0.0",",,7,","2.0",",,7,",,,"49",",,7","13",",,7","19",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-05",,,,,"0.00",",,7,0600","0.0",",,7,","2.0",",,7,",,,"46",",,7","19",",,7","20",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-06",,,,,"0.00",",,7,0600","0.0",",,7,","2.0",",,7,",,,"45",",,7","19",",,7","21",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-07",,,,,"0.00",",,7,0600","0.0",",,7,","1.0",",,7,",,,"49",",,7","19",",,7","30",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-08",,,,,"0.15",",,7,0600","1.3",",,7,","2.0",",,7,",,,"35",",,7","22",",,7","22",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-09",,,,,"0.06",",,7,0600","0.9",",,7,","3.0",",,7,",,,"24",",,7","19",",,7","20",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-10",,,,,"0.00",",,7,0600","0.0",",,7,","2.0",",,7,",,,"33",",,7","10",",,7","10",",,7,0600","    1",",,7",,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-11",,,,,"0.00",",,7,0600","0.0",",,7,","2.0",",,7,",,,"36",",,7","7",",,7","13",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-12",,,,,"0.00",",,7,0600","0.0",",,7,","2.0",",,7,",,,"44",",,7","12",",,7","19",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-13",,,,,"0.00",",,7,0600","0.0",",,7,","2.0",",,7,",,,"52",",,7","19",",,7","27",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-14",,,,,"0.00",",,7,0600","0.0",",,7,","1.0",",,7,",,,"57",",,7","25",",,7","25",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-15",,,,,"0.00",",,7,0600","0.0",",,7,","1.0",",,7,",,,"46",",,7","24",",,7","24",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-16",,,,,"0.00","T,,7,0600","0.0","T,,7,","1.0",",,7,",,,"37",",,7","14",",,7","15",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-17",,,,,"0.00",",,7,0600","0.0",",,7,","1.0",",,7,",,,"40",",,7","13",",,7","17",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-18",,,,,"0.00",",,7,0600","0.0",",,7,","1.0",",,7,",,,"42",",,7","13",",,7","29",",,7,0600","    1",",,7",,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-19",,,,,"0.01",",,7,0600","0.2",",,7,","1.0",",,7,",,,"51",",,7","27",",,7","27",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-20",,,,,"0.00","T,,7,0600","0.0","T,,7,","0.0","T,,7,",,,"51",",,7","25",",,7","33",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-21",,,,,"0.00",",,7,0600","0.0",",,7,","0.0","T,,7,",,,"50",",,7","28",",,7","30",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-22",,,,,"0.00",",,7,0600","0.0",",,7,","0.0","T,,7,",,,"40",",,7","21",",,7","22",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2016-01-23",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"57",",,7","21",",,7","30",",,7,0600",,,,,,,,,,,,
